patch_name,r,g,b
black,0,0,0
gray_001,0.0039215686,0.0039215686,0.0039215686
gray_005,0.0196078431,0.0196078431,0.0196078431
gray_016,0.0627450980,0.0627450980,0.0627450980
gray_064,0.2509803922,0.2509803922,0.2509803922
gray_128,0.5019607843,0.5019607843,0.5019607843
white,1,1,1
